"level","got_ll","yr"
"G",0,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",1,2000
"G",0,2000
"G",1,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",1,2000
"G",0,2000
"G",0,2000
"G",0,2000
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",1,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",1,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",1,2001
"G",1,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",1,2001
"G",1,2001
"G",0,2001
"G",0,2001
"G",1,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",0,2001
"G",1,2002
"G",0,2002
"G",0,2002
"G",0,2002
"G",0,2002
"G",0,2002
"G",0,2002
"G",0,2002
"G",0,2002
